ID,Sec,Date,Time,Barometric_Preasure,Humidity,Solar_Radiation,Temperature,Wind_Direction,Wind_Speed
1,1475315718,30.9.2016,23:55:18,30.46,80,1.27,48,151.95,7.87
2,1475315423,30.9.2016,23:50:23,30.46,79,1.25,48,176.14,7.87
3,1475315124,30.9.2016,23:45:24,30.46,79,1.25,48,177.54,9
4,1475314821,30.9.2016,23:40:21,30.46,79,1.25,48,167.56,13.5
5,1475314522,30.9.2016,23:35:22,30.47,79,1.27,48,177.81,15.75
6,1475314227,30.9.2016,23:30:27,30.47,79,1.29,48,140.58,7.87
7,1475313921,30.9.2016,23:25:21,30.47,80,1.23,48,171.63,10.12
8,1475313621,30.9.2016,23:20:21,30.47,84,1.25,48,166.84,10.12
9,1475313321,30.9.2016,23:15:21,30.47,86,1.27,48,151.93,14.62
10,1475313024,30.9.2016,23:10:24,30.47,88,1.24,48,173.83,10.12
11,1475312722,30.9.2016,23:05:22,30.47,88,1.26,48,151.69,10.12
12,1475312426,30.9.2016,23:00:26,30.47,89,1.26,49,168.38,11.25
13,1475312123,30.9.2016,22:55:23,30.47,91,1.28,49,91.28,7.87
14,1475311823,30.9.2016,22:50:23,30.47,96,1.25,49,124.02,13.5
15,1475311522,30.9.2016,22:45:22,30.47,99,1.27,49,120.72,7.87
16,1475311225,30.9.2016,22:40:25,30.47,99,1.27,49,147.66,3.37
17,1475310922,30.9.2016,22:35:22,30.47,99,1.25,49,167.92,11.25
18,1475310623,30.9.2016,22:30:23,30.48,100,1.27,49,112.55,6.75
19,1475310319,30.9.2016,22:25:19,30.48,100,1.24,50,132.28,10.12
20,1475310019,30.9.2016,22:20:19,30.48,100,1.25,50,106.89,9
21,1475309719,30.9.2016,22:15:19,30.48,100,1.26,50,172.54,5.62
22,1475309423,30.9.2016,22:10:23,30.48,100,1.25,50,87.97,5.62
23,1475309124,30.9.2016,22:05:24,30.48,100,1.26,51,150.41,11.25
24,1475308820,30.9.2016,22:00:20,30.48,100,1.28,51,102.63,4.5
25,1475308522,30.9.2016,21:55:22,30.48,100,1.24,51,154.94,4.5
26,1475308221,30.9.2016,21:50:21,30.48,100,1.26,51,87.88,4.5
27,1475307921,30.9.2016,21:45:21,30.48,100,1.27,51,96.52,4.5
28,1475307625,30.9.2016,21:40:25,30.48,99,1.26,50,98.15,4.5
29,1475307320,30.9.2016,21:35:20,30.48,99,1.27,50,160.24,5.62
30,1475307023,30.9.2016,21:30:23,30.48,99,1.3,50,131.5,2.25
31,1475306719,30.9.2016,21:25:19,30.48,99,1.26,50,133.1,7.87
32,1475306420,30.9.2016,21:20:20,30.48,99,1.27,50,126.64,11.25
33,1475306120,30.9.2016,21:15:20,30.48,99,1.26,49,155.31,5.62
34,1475305819,30.9.2016,21:10:19,30.48,99,1.28,49,126.27,10.12
35,1475305520,30.9.2016,21:05:20,30.48,100,1.27,49,152.17,7.87
36,1475305221,30.9.2016,21:00:21,30.47,100,1.27,49,124.52,7.87
37,1475304921,30.9.2016,20:55:21,30.48,100,1.28,49,17.29,5.62
38,1475304629,30.9.2016,20:50:29,30.48,100,1.3,50,61.37,4.5
39,1475304323,30.9.2016,20:45:23,30.47,100,1.24,51,57.31,5.62
40,1475304024,30.9.2016,20:40:24,30.47,100,1.29,51,125.44,7.87
41,1475303723,30.9.2016,20:35:23,30.47,100,1.3,51,85.15,3.37
42,1475303121,30.9.2016,20:25:21,30.47,100,1.32,51,70.91,3.37
43,1475302821,30.9.2016,20:20:21,30.46,100,1.29,51,71.82,5.62
44,1475302526,30.9.2016,20:15:26,30.46,99,1.3,51,88.88,9
45,1475302223,30.9.2016,20:10:23,30.46,99,1.27,51,195.56,2.25
46,1475301923,30.9.2016,20:05:23,30.46,99,1.27,52,114.92,7.87
47,1475301629,30.9.2016,20:00:29,30.46,99,1.29,52,9.67,13.5
48,1475301328,30.9.2016,19:55:28,30.46,99,1.3,52,100.14,12.37
49,1475301020,30.9.2016,19:50:20,30.46,98,1.29,53,18.92,3.37
50,1475300719,30.9.2016,19:45:19,30.46,98,1.29,52,67.59,10.12
51,1475300422,30.9.2016,19:40:22,30.46,97,1.29,52,39.34,10.12
52,1475300122,30.9.2016,19:35:22,30.46,96,1.26,52,127.23,2.25
53,1475299823,30.9.2016,19:30:23,30.46,96,1.26,52,114.03,5.62
54,1475299524,30.9.2016,19:25:24,30.45,95,1.27,52,88.49,5.62
55,1475299224,30.9.2016,19:20:24,30.46,95,1.31,52,88.59,4.5
56,1475298921,30.9.2016,19:15:21,30.46,94,1.27,52,92.81,5.62
57,1475298321,30.9.2016,19:05:21,30.46,93,1.27,52,124.91,5.62
58,1475298019,30.9.2016,19:00:19,30.45,92,1.28,52,137.62,10.12
59,1475297720,30.9.2016,18:55:20,30.45,91,1.3,52,87.84,10.12
60,1475297421,30.9.2016,18:50:21,30.45,89,1.3,52,30.18,2.25
61,1475297124,30.9.2016,18:45:24,30.45,87,1.26,52,177.35,4.5
62,1475296821,30.9.2016,18:40:21,30.45,87,1.28,52,132.61,4.5
63,1475296521,30.9.2016,18:35:21,30.45,87,1.21,52,116.81,5.62
64,1475296221,30.9.2016,18:30:21,30.45,86,1.23,52,159.42,2.25
65,1475295920,30.9.2016,18:25:20,30.45,88,1.27,52,154.96,6.75
66,1475295623,30.9.2016,18:20:23,30.45,90,2.37,52,127.56,6.75
67,1475295319,30.9.2016,18:15:19,30.45,89,2.17,52,146.07,7.87
68,1475295020,30.9.2016,18:10:20,30.45,89,3.43,52,86.22,5.62
69,1475294720,30.9.2016,18:05:20,30.45,88,7.78,52,29.07,1.12
70,1475294430,30.9.2016,18:00:30,30.45,89,14.33,53,61.71,5.62
71,1475294121,30.9.2016,17:55:21,30.45,85,19.07,53,97.54,11.25
72,1475293821,30.9.2016,17:50:21,30.45,84,23.68,53,122.21,5.62
73,1475293525,30.9.2016,17:45:25,30.44,81,30.32,54,84.76,3.37
74,1475293224,30.9.2016,17:40:24,30.44,81,55.91,54,55.09,5.62
75,1475292920,30.9.2016,17:35:20,30.44,82,50.75,54,73.16,11.25
76,1475292625,30.9.2016,17:30:25,30.44,81,76.36,54,45.77,3.37
77,1475292321,30.9.2016,17:25:21,30.44,78,112.4,54,347.32,6.75
78,1475292019,30.9.2016,17:20:19,30.44,78,93.66,55,124.97,6.75
79,1475291721,30.9.2016,17:15:21,30.44,81,172.74,55,83.83,12.37
80,1475291420,30.9.2016,17:10:20,30.44,82,290.09,56,20.86,13.5
81,1475291121,30.9.2016,17:05:21,30.44,80,329.09,56,69.42,7.87
82,1475290821,30.9.2016,17:00:21,30.43,77,349.17,55,98.05,6.75
83,1475290520,30.9.2016,16:55:20,30.44,77,324.11,55,347.6,7.87
84,1475290222,30.9.2016,16:50:22,30.43,77,138.31,56,33.25,10.12
85,1475289918,30.9.2016,16:45:18,30.43,77,330.81,56,22.51,3.37
86,1475289623,30.9.2016,16:40:23,30.43,75,369.66,56,0.16,6.75
87,1475289322,30.9.2016,16:35:22,30.43,74,329.71,56,48.67,6.75
88,1475289019,30.9.2016,16:30:19,30.43,74,271.74,57,359.23,11.25
89,1475288719,30.9.2016,16:25:19,30.43,72,309.23,58,359.93,5.62
90,1475288422,30.9.2016,16:20:22,30.44,66,444.45,58,10.35,6.75
91,1475288121,30.9.2016,16:15:21,30.43,67,454.53,58,33.94,6.75
92,1475287821,30.9.2016,16:10:21,30.43,71,502.97,58,23.98,3.37
93,1475287521,30.9.2016,16:05:21,30.43,67,517.54,58,15.59,7.87
94,1475287223,30.9.2016,16:00:23,30.43,66,522.91,58,24.37,2.25
95,1475286926,30.9.2016,15:55:26,30.43,69,518.79,58,19.6,5.62
96,1475286622,30.9.2016,15:50:22,30.43,68,574.72,58,85.31,7.87
97,1475286325,30.9.2016,15:45:25,30.43,70,572.26,58,26.58,9
98,1475286024,30.9.2016,15:40:24,30.43,74,595.49,58,353.84,5.62
99,1475285726,30.9.2016,15:35:26,30.43,70,621.22,58,79.15,9
100,1475285432,30.9.2016,15:30:32,30.43,71,628.24,58,21.43,7.87
101,1475285122,30.9.2016,15:25:22,30.43,72,547.56,58,51.49,4.5
102,1475284821,30.9.2016,15:20:21,30.43,73,569.47,58,14.71,10.12
103,1475284522,30.9.2016,15:15:22,30.43,68,524.94,58,39.25,5.62
104,1475284219,30.9.2016,15:10:19,30.43,66,514.15,58,355.78,11.25
105,1475283925,30.9.2016,15:05:25,30.43,71,675.87,59,18.65,4.5
106,1475283621,30.9.2016,15:00:21,30.43,62,749.37,59,65.8,5.62
107,1475283323,30.9.2016,14:55:23,30.43,63,817,59,43.88,7.87
108,1475283020,30.9.2016,14:50:20,30.43,63,674.59,59,78.63,11.25
109,1475282719,30.9.2016,14:45:19,30.43,63,750.06,59,15.72,11.25
110,1475282422,30.9.2016,14:40:22,30.43,63,801.4,59,359.92,5.62
111,1475282119,30.9.2016,14:35:19,30.43,63,841.77,59,313.45,4.5
112,1475281519,30.9.2016,14:25:19,30.43,55,878.9,60,84.3,5.62
113,1475281220,30.9.2016,14:20:20,30.43,59,812.24,60,35.7,11.25
114,1475280922,30.9.2016,14:15:22,30.43,56,906.69,61,36.08,10.12
115,1475280622,30.9.2016,14:10:22,30.43,51,830.84,61,40.66,6.75
116,1475280320,30.9.2016,14:05:20,30.43,50,800.4,61,49.91,11.25
117,1475280024,30.9.2016,14:00:24,30.43,47,939.73,61,43.52,6.75
118,1475279721,30.9.2016,13:55:21,30.44,48,958.91,61,45.5,3.37
119,1475279423,30.9.2016,13:50:23,30.44,48,969.45,61,30.2,11.25
120,1475279124,30.9.2016,13:45:24,30.44,51,933.3,60,78.66,6.75
121,1475278820,30.9.2016,13:40:20,30.44,55,976.4,60,45.32,6.75
122,1475278522,30.9.2016,13:35:22,30.44,47,996.02,61,31.78,13.5
123,1475278224,30.9.2016,13:30:24,30.44,50,862.91,61,87.52,5.62
124,1475277921,30.9.2016,13:25:21,30.44,49,890.3,61,17.92,12.37
